agent_model,domain,approach,accuracy
claude-3-7-sonnet,airline,baseline,0.5
gpt-4.1,airline,mp_tp,0.62
gpt-4.1,airline,mp_only,0.64
claude-3-7-sonnet,airline,mp_tp,0.68
gpt-4.1,airline,tp_only,0.58
gpt-4.1,airline,baseline,0.56
claude-3-7-sonnet,airline,tp_only,0.62
claude-3-7-sonnet,airline,mp_only,0.6
gpt-4.1,telecom,mp_only,0.5614035087719298
gpt-4.1,telecom,baseline,0.34210526315789475
claude-3-7-sonnet,telecom,tp_only,0.34210526315789475
claude-3-7-sonnet,telecom,mp_tp,0.543859649122807
gpt-4.1,telecom,tp_only,0.32456140350877194
claude-3-7-sonnet,telecom,mp_only,0.7280701754385965
claude-3-7-sonnet,telecom,baseline,0.5175438596491229
gpt-4.1,telecom,mp_tp,0.45614035087719296
